poolAddress,token0,token1,token0Symbol,token1Symbol,fee,poolType
0xf661f70d79baeca13ecb9663cdce341b451432b5,0x1416946162b1c2c871a73b07e932d2fb6c932069,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,NRG,WETH,3000,eth_paired
0xf66368c84e3496c804b99da5f2fe463ce5f3d44d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xeb8f224a99423bba0bb9c8dd35ea5e4a1e1f5371,WETH,RISE,3000,eth_paired
0xf6838a796741a9d7e8b5cbfddcddd2c305519055,0x3d3d35bb9bec23b06ca00fe472b50e7a4c692c30,0x6f2495e244915b164df57ba135f8430fa01c4d25,VIDYA,Toil,10000,other
0xf68b237202b25a0fcfb45b69532380365301b1f9,0x69b5eb87ea9c99f26704c3782af002dc98499615,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,以大坊,WETH,10000,eth_paired
0xf6963d6854c0b80bfa7a09c13f61ffc2cc53643c,0x694cf2367f225e27b3c10f7748996cbc92bf507f,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,dAI,WETH,10000,eth_paired
0xf6abb9f3fcb1494ccdf1bdecd9c213f351f5bfb1,0x69a37d09af6095c977a3e4f63da62ec196a5993b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,ETH для всех,WETH,10000,eth_paired
0xf6b13b6e6025f805534b46e8c310ecae7e6e8ed6,0x69e1cf96a25ddbb145ff5e199e20a6b968d38f9e,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DP,WETH,10000,eth_paired
0xf6e299e3cf26ed894728121190fbe097f5e2b399,0x6983071b2db7fcc7767b2f0f5254fdecd5c9a3ba,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,balvi,WETH,10000,eth_paired
0xf6e2edc5953da297947c6c68911e16cf1c9b64b6,0x69ca61398eca94d880393522c1ef5c3d8c058837,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DOK,WETH,10000,eth_paired
0xf6ed2390be39c783ae78893c91669eeb635d0429,0x2b591e99afe9f32eaa6214f7b7629768c40eeb39,0x6b32022693210cd2cfc466b9ac0085de8fc34ea6,HEX,DECI,10000,other
0xf728cb2e08fe7442c72d67507a638c604f7c50f4,0x1ed7bd5d3aaf9abcc994725526139be521095311,0x851f679a5edfb16e7cf1ad157c6995b7e7f333f2,ULTRA,TrumpBucks,10000,other
0xf72b3efc7c8148bf6e20754b04ff6307e46f2d34,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc82be2e62e0732119bcca4340580132a8b5e3282,WETH,WEBSIM,3000,eth_paired
0xf738a72865dbc539ec3b167b0f5754cd3a13369b,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd027a49932418810bbc4066ee734cf41b397b9f9,WETH,LGC,3000,eth_paired
0xf743ace0dd18b26ef95988486315dd7a39b07035,0x5cf04716ba20127f1e2297addcf4b5035000c9eb,0xdac17f958d2ee523a2206206994597c13d831ec7,NKN,USDT,3000,other
0xf745b36540a1606f69630da6c6bd9930351b0c68,0x3819f64f282bf135d62168c1e513280daf905e06,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,HDRN,WETH,10000,eth_paired
0xf74f45d2cd870c1634f4c6066b7c05a729c5dce4,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x68eb95dc9934e19b86687a10df8e364423240e94,WBTC,BULL,10000,other
0xf761b9fbe8b7b48bffa7b177dc7b2aa84cbb3b41,0x2b117f0a9a56dddaaf0257b476bfc39ca7e6fda1,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,CNW,WETH,10000,eth_paired
0xf763bb342eb3d23c02ccb86312422fe0c1c17e94,0x77e06c9eccf2e797fd462a92b6d7642ef85b0a44,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,wTAO,USDC,10000,other
0xf76a42ccebf9041c46c26aae01c019a0053918a6,0x21d6d37411d86fafdc565260e81e7a585bc44119,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FGPT,WETH,10000,eth_paired
0xf77f281680421bb6358978060ae5b064b7aa5740,0x301a9f3b54df451edc3be47355bc57d4d37ec118,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,FIFTY,WETH,500,eth_paired
0xf782b0335f6d80b1dbe3750c5afa96c80bee76aa,0x6982508145454ce325ddbe47a25d4ec3d2311933,0xd4419c2d3daa986dc30444fa333a846be44fd1eb,PEPE,ZIK,10000,other
0xf7849d0852fc588210b9c0d8b26f43c0c9bc1470,0x6c6ee5e31d828de241282b9606c8e98ea48526e2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,HOT,WETH,10000,eth_paired
0xf784a6058f5606b303a2b38466817ad606bb2c40,0x3b37a9caf74ead14e521d46af0bf00737d827828,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,HOPE,WETH,10000,eth_paired
0xf7878463070a013a58f547b2b08df47a1fb91744,0x6810e776880c02933d47db1b9fc05908e5386b96,0xdac17f958d2ee523a2206206994597c13d831ec7,GNO,USDT,10000,other
0xf79fc43494ce8a4613cb0b2a67a1b1207fd05d27,0x4d224452801aced8b2f0aebe155379bb5d594381,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,APE,WETH,10000,eth_paired
0xf7d01cdc167149fec54f7dd0c66c4022b2a50d0f,0x0bc37bea9068a86c221b8bd71ea6228260dad5a2,0xdac17f958d2ee523a2206206994597c13d831ec7,SPARKLET,USDT,3000,other
0xf7d7a98fd021d2b258479ab9cac38e8876bdae00,0x0102b5a737930bfe599c2e48922e0c795eb9de3c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,GISELLE,WETH,10000,eth_paired
0xf7daf43f9ec40790ad8b931b5c88ed8fb2656bab,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdfbc9050f5b01df53512dcc39b4f2b2bbacd517a,USDT,JOB,3000,other
0xf7e4a6c501469c5436e1c23a21b29b8403b8423e,0x8e5fef0b07130457027ac0e133a8f828d4a6b78d,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DIGITALTACO,WETH,10000,eth_paired
0xf7f381315b218263aa1ef22895a1b20cc70e3651,0x94be6962be41377d5beda8dfe1b100f3bf0eacf3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,DORKL,WETH,10000,eth_paired
0xf7fd0860922bd3352e2dbaf725a182b74bf7a2e1,0x28d38df637db75533bd3f71426f3410a82041544,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,PROMPT,USDC,3000,other
0xf7fdde74f6bbadb90d890604eb253825c115092e,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0xf939e0a03fb07f59a73314e73794be0e57ac1b4e,WBTC,crvUSD,500,other
0xf8147d33614168ada826c7d2227506ce5ee278d9,0xbf52f2ab39e26e0951d2a02b49b7702abe30406a,0xdac17f958d2ee523a2206206994597c13d831ec7,ODEM,USDT,10000,other
0xf81c2b2d948c1acee403f137576d48607d365dbc,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc735d6793680bc8e0f58e10483dbfe15da19d6a0,WETH,SLIPPY,3000,eth_paired
